"","id","adp"
"291","12185","215.04"
"292","11387","215.46"
"293","0509","215.65"
"294","11188","216.36"
"295","0514","216.91"
"296","0529","217.51"
"297","12210","219.55"
"298","12164","219.88"
"299","9694","222.16"
"300","7859","224.25"
"301","9714","224.44"
"302","10307","225.39"
"303","10432","227.5"
"304","11684","227.68"
"305","10334","228.43"
"306","11150","229.06"
"307","10710","230.82"
"308","9094","232.66"
"309","11641","234.91"
"310","11760","235.22"
"311","9429","236.22"
"312","10651","236.25"
"313","10998","236.8"
"314","11886","239.38"
"315","10714","241.91"
"316","3294","242.11"
"317","10702","242.26"
"318","10706","243.66"
"319","8735","244.07"
"320","10731","244.26"
"321","12260","245.98"
"322","8293","246.56"
"323","11258","247.7"
"324","10932","248.48"
"325","11972","253.07"
"326","12256","254.41"
"327","10719","257.29"
"328","11652","259.6"
"329","11076","260.24"
"330","12211","263.02"
"331","12183","263.98"
"332","10268","268.58"
"333","11752","269.68"
"334","9176","271.64"
"335","12102","272.08"
"336","11432","274.15"
"337","9144","275.12"
"338","10333","275.17"
"339","11890","275.6"
"340","10978","276.72"
"341","9964","283.05"
