,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt?,DKPt,FDPt,VBD,PosRank,OvRank
39,Frank Gore*\GoreFr00,SFO,RB,28,16,15,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,183,202.5,187,34,12,38
40,Reggie Bush\BushRe00,MIA,RB,26,15,15,0,0,0,0,0,216,1086,5.03,6,52,43,296,6.88,1,180,227.2,197.7,32,13,42
41,Percy Harvin\HarvPe00,MIN,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,179,277.2,226.7,60,7,20
42,Roddy White*\WhitRo00,ATL,WR,30,16,16,0,0,0,0,0,0,0,,0,180,100,1296,12.96,8,178,280.6,227.6,59,8,22
43,Fred Jackson\JackFr02,BUF,RB,30,10,10,0,0,0,0,0,170,934,5.49,6,50,39,442,11.33,0,174,217.6,191.1,25,14,50
44,Mike Wallace*\WallMi00,PIT,WR,25,16,14,0,0,0,0,0,5,57,11.4,0,114,72,1193,16.57,8,173,247.5,208,54,9,23
45,Matt Forte*\FortMa00,CHI,RB,26,12,12,0,1,0,0,0,203,997,4.91,3,76,52,490,9.42,1,173,229.7,196.7,24,15,51
46,Tarvaris Jackson\JackTa00,SEA,QB,28,15,14,271,450,3091,14,13,40,108,2.7,1,0,0,0,,0,172,184.9,174.4,,20,
47,Chris Johnson\JohnCh04,TEN,RB,26,16,16,0,0,0,0,0,262,1047,4,4,79,57,418,7.33,0,171,232,196,22,16,54
48,Vincent Jackson*\JackVi00,SDG,WR,28,16,16,0,0,0,0,0,3,51,17,0,115,60,1106,18.43,9,170,232.7,199.7,51,10,26
49,Beanie Wells\WellCh00,ARI,RB,23,14,14,0,0,0,0,0,245,1047,4.27,10,16,10,52,5.2,0,170,180.9,170.9,21,17,55
50,Matt Moore\MoorMa01,MIA,QB,27,13,12,210,347,2497,16,9,32,65,2.03,2,0,0,0,,0,166,169.4,159.4,,21,
51,Colt McCoy\McCoCo00,CLE,QB,25,13,13,265,463,2733,14,11,61,212,3.48,0,1,1,-5,-5,0,166,176.5,164.5,,22,
52,Shonn Greene\GreeSh00,NYJ,RB,26,16,15,0,0,0,0,0,253,1054,4.17,6,41,30,211,7.03,0,163,198,176.5,14,18,58
53,Marques Colston\ColsMa00,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,107,80,1143,14.29,8,162,244.8,201.3,43,11,27
54,Rashard Mendenhall\MendRa00,PIT,RB,24,15,15,0,0,0,0,0,228,928,4.07,9,28,18,154,8.56,0,162,185.7,170.2,14,19,60
55,Hakeem Nicks\NickHa01,NYG,WR,23,15,15,0,0,0,0,0,0,0,,0,133,76,1192,15.68,7,161,240.2,199.2,42,12,28
56,Brandon Marshall*\MarsBr00,MIA,WR,27,16,16,0,0,0,0,0,1,13,13,0,141,81,1214,14.99,6,161,242.2,198.2,42,13,30
57,Ahmad Bradshaw\BradAh00,NYG,RB,25,12,9,0,0,0,0,0,171,659,3.85,9,44,34,267,7.85,2,161,200.1,176.6,12,20,63
58,Matt Schaub\SchaMa00,HOU,QB,30,10,10,178,292,2479,15,6,15,9,0.6,2,0,0,0,,0,160,167.6,163.1,,23,
59,Rex Grossman\GrosRe00,WAS,QB,31,13,13,265,458,3151,16,20,20,11,0.55,1,0,0,0,,0,159,176.1,169.1,,24,
60,Willis McGahee*\McGaWi00,DEN,RB,30,15,14,0,0,0,0,0,249,1199,4.82,4,20,12,51,4.25,1,157,170,159,8,21,67
61,A.J. Green*\GreeA.00,CIN,WR,23,15,15,0,0,0,0,0,5,53,10.6,0,115,65,1057,16.26,7,153,220.5,184.5,34,14,37
62,Laurent Robinson\RobiLa01,DAL,WR,26,14,4,0,0,0,0,0,0,0,,0,80,54,858,15.89,11,152,208.8,178.8,33,15,39
63,Mike Tolbert\TolbMi00,SDG,RB,26,15,1,0,0,0,0,0,121,490,4.05,8,79,54,433,8.02,2,152,211.3,177.3,4,22,71
64,Nate Washington\WashNa00,TEN,WR,28,16,15,0,0,0,0,0,2,5,2.5,1,121,74,1023,13.82,7,151,227.8,187.8,32,16,41
65,Cedric Benson\BensCe00,CIN,RB,29,15,15,0,0,0,0,0,273,1067,3.91,6,22,15,82,5.47,0,151,166.4,153.4,2,23,73
66,Julio Jones\JoneJu02,ATL,WR,22,13,13,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,150,206,175.5,31,17,43
67,Greg Jennings*\JennGr00,GNB,WR,28,13,13,0,0,0,0,0,0,0,,0,101,67,949,14.16,9,149,218.9,182.4,30,18,44
68,BenJarvus Green-Ellis\GreeBe00,NWE,RB,26,16,6,0,0,0,0,0,181,667,3.69,11,13,9,159,17.67,0,149,163.6,153.1,,24,
69,Dez Bryant\BryaDe01,DAL,WR,23,15,13,0,0,0,0,0,1,5,5,0,103,63,928,14.73,9,147,211.8,175.8,28,19,46
70,Dwayne Bowe\BoweDw00,KAN,WR,27,16,14,0,0,0,0,0,1,12,12,0,142,81,1159,14.31,5,147,230.6,186.6,28,20,47
71,Jonathan Stewart\StewJo00,CAR,RB,24,16,3,0,0,0,0,0,142,761,5.36,4,61,47,413,8.79,1,147,199.9,169.9,,25,
72,Steve Johnson\JohnSt00,BUF,WR,25,16,16,0,0,0,0,0,0,0,,0,134,76,1004,13.21,7,142,221.4,180.4,23,21,52
73,Jay Cutler\CutlJa00,CHI,QB,28,10,10,182,314,2319,13,7,18,55,3.06,1,0,0,0,,0,142,148.8,142.3,,25,
74,DeAngelo Williams\WillDe02,CAR,RB,28,16,14,0,0,0,0,0,155,836,5.39,7,25,16,135,8.44,0,139,161.1,147.1,,26,
75,Aaron Hernandez\HernAa00,NWE,TE,22,14,12,0,0,0,0,0,5,45,9,0,113,79,910,11.52,7,138,219,176,40,3,32
76,Carson Palmer\PalmCa00,OAK,QB,32,10,9,199,328,2753,13,16,16,20,1.25,1,0,0,0,,0,138,156.1,152.1,,26,
77,Pierre Thomas\ThomPi00,NOR,RB,27,16,7,0,0,0,0,0,110,562,5.11,5,59,50,425,8.5,1,137,189.7,157.7,,27,
78,Pierre Garcon\GarcPi00,IND,WR,25,16,16,0,0,0,0,0,4,28,7,0,134,70,947,13.53,6,134,205.5,166.5,15,22,57
79,Tony Gonzalez*\GonzTo00,ATL,TE,35,16,16,0,0,0,0,0,0,0,,0,116,80,875,10.94,7,130,212.5,169.5,32,4,40
80,Torrey Smith\SmitTo02,BAL,WR,22,16,14,0,0,0,0,0,4,39,9.75,0,95,50,841,16.82,7,130,182.5,154,11,23,64
81,Brandon Lloyd\LloyBr00,2TM,WR,30,15,14,0,1,0,0,0,0,0,,0,148,70,966,13.8,5,129,199.1,160.6,10,24,66
82,Ben Tate\TateBe00,HOU,RB,23,15,2,0,0,0,0,0,175,942,5.38,4,19,13,98,7.54,0,128,142,130.5,,28,
83,Jermichael Finley\FinlJe00,GNB,TE,24,16,13,0,0,0,0,0,0,0,,0,92,55,767,13.95,8,127,182.7,152.2,29,5,45
84,Antonio Brown*\BrowAn04,PIT,WR,23,16,3,0,0,0,0,0,7,41,5.86,0,124,69,1108,16.06,2,127,204.9,167.4,8,25,68
85,Jabar Gaffney\GaffJa00,WAS,WR,31,16,15,0,0,0,0,0,0,0,,0,114,68,947,13.93,5,125,195.2,157.7,6,26,69
86,Jason Witten\WittJa00,DAL,TE,29,16,16,0,0,0,0,0,0,0,,0,117,79,942,11.92,5,124,205.7,162.7,27,6,48
87,DeSean Jackson\JackDe00,PHI,WR,25,15,15,0,0,0,0,0,7,41,5.86,0,104,58,961,16.57,4,124,184.7,152.2,5,27,70
88,Blaine Gabbert\GabbBl00,JAX,QB,22,15,14,210,413,2214,12,11,48,98,2.04,0,0,0,0,,0,124,131.4,121.4,,27,
89,LeGarrette Blount\BlouLe00,TAM,RB,25,14,14,0,0,0,0,0,184,781,4.24,5,25,15,148,9.87,0,123,141.4,125.4,,29,
90,Darrius Heyward-Bey\HeywDa00,OAK,WR,24,15,13,0,0,0,0,0,0,0,,0,115,64,975,15.23,4,122,188,152.5,3,28,72
91,Christian Ponder\PondCh00,MIN,QB,23,11,10,158,291,1853,13,13,28,219,7.82,0,0,0,0,,0,122,138,129,,28,
92,Antonio Gates*\GateAn00,SDG,TE,31,13,13,0,0,0,0,0,0,0,,0,88,64,778,12.16,7,120,186.8,151.8,22,7,53
93,Reggie Wayne\WaynRe00,IND,WR,33,16,16,0,0,0,0,0,0,0,,0,132,75,960,12.8,4,120,198,157.5,1,29,74
94,Roy Helu\HeluRo00,WAS,RB,23,15,5,0,0,0,0,0,151,640,4.24,2,59,49,379,7.73,1,120,173.9,142.4,,31,
95,Brandon Jacobs\JacoBr00,NYG,RB,29,14,6,0,0,0,0,0,152,571,3.76,7,23,15,128,8.53,1,120,139.4,124.4,,32,
96,DeMarco Murray\MurrDe00,DAL,RB,23,13,7,0,0,0,0,0,164,897,5.47,2,35,26,183,7.04,0,120,151.5,132,,30,
