,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
104,A.J. Green\GreeA.00,CIN,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,120,189.4,153.4,,34,
105,Willie Snead\SneaWi00,NOR,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,120,194.5,155.5,,35,
106,Sterling Shepard\ShepSt00,NYG,WR,22,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,119,187.4,151.9,,37,
107,DeAndre Hopkins\HopkDe00,HOU,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,119,200.4,158.4,,36,
108,Marvin Jones\JoneMa02,DET,WR,26,15,15,0,0,0,0,0,1,3,3,0,103,55,930,16.91,4,117,175.3,144.8,,38,
109,Mike Gillislee\GillMi00,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,117,128.7,121.2,,27,
110,Christine Michael\MichCh00,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,115,144,126,,28,
111,Cole Beasley\BeasCo00,DAL,WR,27,16,6,0,1,0,0,0,1,7,7,0,98,75,833,11.11,5,114,192,151.5,,39,
112,Cameron Meredith\MereCa00,CHI,WR,24,14,10,1,1,2,1,0,1,6,6,0,97,66,888,13.45,4,113,184.5,146.5,,40,
113,Devontae Booker\BookDe00,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,112,151.7,127.2,,29,
114,Quincy Enunwa\EnunQu00,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12,0,105,58,857,14.78,4,111,171.9,139.9,,41,
115,Darren Sproles\SproDa00,PHI,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,111,168.5,136.5,,30,
116,Case Keenum\KeenCa00,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,111,126.1,122.1,,30,
117,Steve Smith\SmitSt01,BAL,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,110,186.9,148.9,,42,
118,Theo Riddick\RiddTh00,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7,5,109,167.8,135.3,,31,
119,Stefon Diggs\DiggSt00,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,109,196.3,151.3,,44,
120,Marqise Lee\LeexMa00,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,109,182.4,146.9,,43,
121,Anquan Boldin\BoldAn00,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,106,176.4,139.9,,45,
122,Dontrelle Inman\InmaDo00,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,105,166,134,,47,
123,Taylor Gabriel\GabrTa00,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,105,143,122.5,,49,
124,Ted Ginn\GinnTe00,CAR,WR,31,16,8,0,0,0,0,0,14,98,7,0,95,54,752,13.93,4,105,164,132,,48,
125,Tim Hightower\HighTi00,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,105,132.8,115.8,,32,
126,JJ Nelson\NelsJJ00,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,105,143.1,122.1,,46,
127,Jerick McKinnon\McKiJe00,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,103,154.4,126.9,,33,
128,Rashad Jennings\JennRa00,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,103,144.4,120.9,,34,
129,James White\WhitJa02,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,102,167.7,131.7,,35,
130,Matt Asiata\AsiaMa00,MIN,RB,29,16,6,0,0,0,0,0,121,402,3.32,6,38,32,263,8.22,0,101,139.5,116.5,,36,
131,Chris Thompson\ThomCh03,WAS,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,99,154.5,123,,37,
132,DeVante Parker\ParkDe01,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,88,56,744,13.29,4,98,157.4,126.4,,51,
133,Jordan Matthews\MattJo00,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,98,174.4,134.9,,50,
134,Brandon Marshall\MarsBr00,NYJ,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,97,158.8,126.3,,52,
135,Ty Montgomery\MontTy01,GNB,RB,23,15,6,0,0,0,0,0,77,457,5.94,3,56,44,348,7.91,0,97,147.5,118.5,,38,
136,Alshon Jeffery\JeffAl00,CHI,WR,26,12,12,0,0,0,0,0,0,0,,0,94,52,821,15.79,2,94,149.1,120.1,,53,
137,Derrick Henry\HenrDe00,TEN,RB,22,15,1,0,0,0,0,0,110,490,4.45,5,15,13,137,10.54,0,93,111.7,99.2,,39,
138,Duke Johnson\JohnDu00,CLE,RB,23,16,1,0,1,0,0,0,73,358,4.9,1,74,53,514,9.7,0,91,151.2,117.7,,40,
139,Chris Hogan\HogaCh00,NWE,WR,28,15,14,0,0,0,0,0,3,9,3,0,58,38,680,17.89,4,91,132.9,109.9,,54,
140,Tavon Austin\AustTa00,LAR,WR,25,15,15,0,0,0,0,0,28,159,5.68,1,106,58,509,8.78,3,89,153.8,117.8,,55,
141,Randall Cobb\CobbRa00,GNB,WR,26,13,10,0,0,0,0,0,10,33,3.3,0,84,60,610,10.17,4,88,151.3,118.3,,56,
142,T.J. Yeldon\YeldT.00,JAX,RB,23,15,13,0,0,0,0,0,130,465,3.58,1,68,50,312,6.24,1,88,144.7,112.7,,41,
143,Mohamed Sanu\SanuMo00,ATL,WR,27,15,15,0,0,0,0,0,1,5,5,0,81,59,653,11.07,4,88,152.8,119.3,,57,
144,Jalen Richard\RichJa01,OAK,RB,23,16,0,0,0,0,0,0,83,491,5.92,1,39,29,194,6.69,2,87,121.5,101,,42,
145,C.J. Anderson\AndeC.00,DEN,RB,25,7,7,0,0,0,0,0,110,437,3.97,4,24,16,128,8,1,87,108.5,94.5,,43,
146,Jack Doyle\DoylJa00,IND,TE,26,16,14,0,0,0,0,0,0,0,,0,75,59,584,9.9,5,86,149.4,115.9,,13,
147,Travis Benjamin\BenjTr00,SDG,WR,27,14,8,0,1,0,0,0,2,-3,-1.5,0,75,47,677,14.4,4,85,138.4,108.9,,58,
148,Tyler Lockett\LockTy00,SEA,WR,24,15,9,0,0,0,0,0,6,114,19,1,66,41,597,14.56,1,83,130.1,103.6,,59,
149,Jeremy Kerley\KerlJe00,SFO,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,83,150.7,114.7,,60,
150,Dennis Pitta\PittDe00,BAL,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,83,172.9,125.9,,16,
151,Giovani Bernard\BernGi00,CIN,RB,25,10,2,0,0,0,0,0,91,337,3.7,2,51,39,336,8.62,1,83,129.3,102.8,,44,
152,Jason Witten\WittJa00,DAL,TE,34,16,16,0,0,0,0,0,0,0,,0,95,69,673,9.75,3,83,156.3,117.8,,14,
153,Eric Ebron\EbroEr00,DET,TE,23,13,13,0,0,0,0,0,1,1,1,1,85,61,711,11.66,1,83,147.2,113.7,,15,
154,DeAngelo Williams\WillDe02,PIT,RB,33,8,4,0,0,0,0,0,98,343,3.5,4,27,18,118,6.56,2,82,106.1,91.1,,46,
155,Robert Turbin\TurbRo00,IND,RB,27,15,0,0,0,0,0,0,47,164,3.49,7,35,26,179,6.88,1,82,114.3,95.3,,45,
156,Terrance Williams\WillTe01,DAL,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.5,4,81,129.4,103.4,,61,
157,Brian Hoyer\HoyeBr00,CHI,QB,31,6,5,134,200,1445,6,0,7,-2,-0.29,0,0,0,0,,0,80,83.6,79.6,,31,
158,C.J. Fiedorowicz\FiedC.00,HOU,TE,25,15,15,0,0,0,0,0,0,0,,0,89,54,559,10.35,4,80,136.9,106.9,,17,
159,Shaun Draughn\DrauSh00,SFO,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,80,115.9,94.4,,47,
160,Charles Clay\ClayCh00,BUF,TE,27,15,15,0,0,0,0,0,0,0,,0,87,57,552,9.68,4,79,139.2,107.7,,18,
161,Michael Floyd\FloyMi00,2TM,WR,27,15,8,0,0,0,0,0,0,0,,0,76,37,488,13.19,5,79,118.8,97.3,,62,
162,Jacquizz Rodgers\RodgJa00,TAM,RB,26,10,5,0,0,0,0,0,129,560,4.34,2,16,13,98,7.54,0,78,93.8,84.3,,48,
163,Eli Rogers\RogeEl00,PIT,WR,,13,8,0,0,0,0,0,1,6,6,0,66,48,594,12.38,3,78,129,102,,63,
164,Dwayne Allen\AlleDw00,IND,TE,26,14,14,0,0,0,0,0,0,0,,0,52,35,406,11.6,6,77,116.6,96.1,,19,
165,Adam Humphries\HumpAd00,TAM,WR,23,15,4,0,0,0,0,0,5,18,3.6,0,83,55,622,11.31,2,76,136,105.5,,64,
166,Zach Zenner\ZennZa00,DET,RB,25,14,4,0,0,0,0,0,88,334,3.8,4,23,18,196,10.89,0,75,100,84,,49,
167,Chris Ivory\IvorCh00,JAX,RB,28,11,1,0,0,0,0,0,117,439,3.75,3,28,20,186,9.3,0,75,103.5,84.5,,50,
168,Will Fuller\FullWi01,HOU,WR,22,14,13,0,0,0,0,0,1,-3,-3,0,92,47,635,13.51,2,75,131.2,104.7,,65,
169,Cody Kessler\KessCo00,CLE,QB,23,9,8,128,195,1380,6,2,11,18,1.64,0,0,0,0,,0,75,81,77,,32,
170,Brian Quick\QuicBr00,LAR,WR,27,16,8,0,0,0,0,0,0,0,,0,77,41,564,13.76,3,74,118.4,94.9,,66,
171,Donte Moncrief\MoncDo00,IND,WR,23,9,7,0,0,0,0,0,1,-1,-1,0,56,30,307,10.23,7,73,105.6,87.6,,68,
172,Robby Anderson\AndeRo04,NYJ,WR,23,16,8,0,0,0,0,0,3,42,14,0,78,42,587,13.98,2,73,118.9,93.9,,67,
173,Blaine Gabbert\GabbBl00,SFO,QB,27,6,5,91,160,925,5,6,40,173,4.33,2,1,1,-16,-16,0,73,85.7,79.2,,33,
174,Gary Barnidge\BarnGa01,CLE,TE,31,16,16,0,0,0,0,0,0,0,,0,82,55,612,11.13,2,73,133.2,102.7,,20,
175,Zach Miller\MillZa02,CHI,TE,32,10,8,0,0,0,0,0,0,0,,0,64,47,486,10.34,4,73,122.6,96.1,,21,
176,Kenneth Dixon\DixoKe00,BAL,RB,22,12,0,0,0,0,0,0,88,382,4.34,2,41,30,162,5.4,1,72,108.4,87.4,,51,
177,Doug Martin\MartDo00,TAM,RB,27,8,8,0,0,0,0,0,144,421,2.92,3,16,14,134,9.57,0,72,92.5,78.5,,52,
178,Rob Gronkowski\GronRo00,NWE,TE,27,8,6,0,0,0,0,0,0,0,,0,38,25,540,21.6,3,72,100,84.5,,22,
179,Matt Barkley\BarkMa00,CHI,QB,26,7,6,129,216,1611,8,14,7,2,0.29,0,1,1,2,2,1,71,90.8,85.3,,34,
180,Damien Williams\WillDa05,MIA,RB,24,15,0,0,0,0,0,0,35,115,3.29,3,31,23,249,10.83,3,70,100.4,81.9,,53,
181,Vernon Davis\DaviVe00,WAS,TE,32,16,14,0,0,0,0,0,0,0,,0,59,44,583,13.25,2,70,117.3,92.3,,23,
