,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
1,David Johnson\JohnDa08,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,326,416.8,367.8,189,1,1
2,Ezekiel Elliott\ElliEz00,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,293,332.4,309.4,156,2,2
3,Aaron Rodgers\RodgAa00,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,376,395,385,116,1,3
4,LeSean McCoy\McCoLe01,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,246,304.3,273.3,109,3,4
5,DeMarco Murray\MurrDe00,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,241,300.8,267.3,104,4,5
6,Le'Veon Bell\BellLe00,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,240,324.4,279.9,103,5,6
7,Devonta Freeman\FreeDe00,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,230,291.1,257.1,93,6,7
8,LeGarrette Blount\BlouLe00,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,226,236.9,229.4,89,7,8
9,Matt Ryan\RyanMa00,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,343,360.5,352.5,84,2,9
10,Jordy Nelson\NelsJo00,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,208,308.7,256.2,83,1,10
11,Mike Evans\EvanMi00,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,204,307.1,256.1,80,2,11
12,Antonio Brown\BrowAn04,PIT,WR,28,15,15,0,0,0,0,0,3,9,3,0,154,106,1284,12.11,12,201,310.3,254.3,77,3,12
13,Melvin Gordon\GordMe00,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,210,258.6,230.1,73,8,13
14,Drew Brees\BreeDr00,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,332,354.3,347.3,72,3,14
15,Odell Beckham\BeckOd00,NYG,WR,24,16,16,0,0,0,0,0,1,9,9,0,169,101,1367,13.53,10,196,300.6,246.1,71,4,15
16,Jordan Howard\HowaJo00,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,201,237.1,215.6,64,9,16
17,T.Y. Hilton\HiltT.00,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,181,276.8,228.3,56,5,17
18,Mark Ingram\IngrMa01,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,192,250.2,219.2,55,10,18
19,Julio Jones\JoneJu02,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,177,262.9,218.4,52,6,19
20,Jay Ajayi\AjayJa00,MIA,RB,23,15,12,0,0,0,0,0,261,1272,4.87,8,35,27,151,5.59,0,188,222.3,201.8,51,11,20
21,Travis Kelce\KelcTr00,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5,0,117,85,1125,13.24,4,136,226,180.5,49,1,21
22,Davante Adams\AdamDa01,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,170,250.7,209.2,45,7,22
23,Brandin Cooks\CookBr00,NOR,WR,23,16,12,0,0,0,0,0,6,30,5,0,117,78,1173,15.04,8,168,249.3,207.3,44,8,23
24,Andrew Luck\LuckAn00,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,304,327.7,316.7,44,4,24
25,Kirk Cousins\CousKi00,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,300,318.3,312.3,40,5,25
26,Frank Gore\GoreFr00,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.9,4,47,38,277,7.29,4,176,221.2,195.2,39,12,26
27,Michael Thomas\ThomMi05,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,164,260.7,209.7,39,9,27
28,Kyle Rudolph\RudoKy00,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,126,212,167.5,39,2,28
29,Latavius Murray\MurrLa00,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8,0,175,215.2,191.7,38,13,29
30,Greg Olsen\OlseGr00,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,125,210.3,167.3,38,3,30
31,Jimmy Graham\GrahJi00,SEA,TE,30,16,15,0,0,0,0,0,1,0,0,0,95,65,923,14.2,6,124,194.3,156.8,37,4,31
32,Delanie Walker\WalkHu00,TEN,TE,32,15,10,0,0,0,0,0,2,11,5.5,0,102,65,800,12.31,7,123,191.1,155.6,36,5,32
33,Doug Baldwin\BaldDo00,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12,7,160,256.6,206.6,35,10,33
34,Isaiah Crowell\CrowIs00,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,165,213.1,185.1,28,14,34
35,Dak Prescott\PresDa01,DAL,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,,0,287,300.9,290.9,27,6,35
36,Cameron Brate\BratCa00,TAM,TE,25,15,10,0,0,0,0,0,0,0,,0,81,57,660,11.58,8,114,174,142.5,27,6,36
37,Carlos Hyde\HydeCa00,SFO,RB,25,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,163,201.1,178.6,26,15,37
38,Martellus Bennett\BennMa00,NWE,TE,29,16,12,0,0,0,0,0,2,10,5,0,73,55,701,12.75,7,113,171.1,140.6,26,7,38
39,Michael Crabtree\CrabMi00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,148,242.3,194.8,24,11,39
40,Spencer Ware\WareSp00,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.3,3,42,33,447,13.55,2,161,202.8,177.3,24,16,40
41,Tyrell Williams\WillTy00,SDG,WR,24,16,12,0,0,0,0,0,0,0,,0,119,69,1059,15.35,7,148,219.9,182.4,23,12,41
42,Tevin Coleman\ColeTe01,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,160,197.1,175.6,23,17,42
43,Lamar Miller\MillLa01,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4,5,39,31,188,6.06,1,160,198.1,175.6,23,18,43
44,Rishard Matthews\MattRi00,TEN,WR,27,16,10,0,0,0,0,0,0,0,,0,108,65,945,14.54,9,147,215.5,179,22,13,44
45,Amari Cooper\CoopAm00,OAK,WR,22,16,14,0,0,0,0,0,1,0,0,0,132,83,1153,13.89,5,145,235.3,190.8,21,14,45
46,Jeremy Hill\HillJe01,CIN,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,155,182.3,165.8,18,19,46
47,Zach Ertz\ErtzZa00,PHI,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,106,186.6,144.6,18,8,47
48,Todd Gurley\GurlTo01,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.6,0,155,205.2,176.7,18,20,48
49,Matthew Stafford\StafMa00,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,278,295.8,287.8,18,7,49
50,Matt Forte\FortMa00,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,154,190.6,168.6,17,21,50
51,Jordan Reed\ReedJo02,WAS,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,103,172.6,135.6,15,9,51
52,Tyreek Hill\HillTy00,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,138,224,186.5,14,15,52
53,Larry Fitzgerald\FitzLa00,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.5,0,150,107,1023,9.56,6,137,247.8,190.3,12,16,53
54,Jarvis Landry\LandJa00,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.4,0,131,94,1136,12.09,4,135,236.3,184.3,11,17,54
55,Terrelle Pryor\PryoTe00,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,134,216.4,174.9,10,18,55
56,Demaryius Thomas\ThomDe03,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,134,229.3,179.3,10,19,56
57,Kelvin Benjamin\BenjKe00,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,134,201.1,165.6,10,20,57
58,Emmanuel Sanders\SandEm00,DEN,WR,29,16,16,0,0,0,0,0,1,4,4,0,137,79,1032,13.06,5,134,215.6,173.1,9,21,58
59,Antonio Gates\GateAn00,SDG,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,95,151.8,121.3,8,10,59
60,Tyrod Taylor\TaylTy00,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,267,282.9,274.9,7,8,60
61,Hunter Henry\HenrHu00,SDG,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,94,133.8,111.8,7,11,61
62,Blake Bortles\BortBl00,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20,1,266,297.1,284.6,6,9,62
63,Russell Wilson\WilsRu00,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.6,1,2,2,14,7,1,266,287.1,278.1,6,10,63
64,Julian Edelman\EdelJu00,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,130,235.3,181.3,6,22,64
65,Golden Tate\TateGo00,DET,WR,28,16,16,0,0,0,0,0,10,4,0.4,0,135,91,1077,11.84,4,130,227.1,177.6,6,23,65
66,Dez Bryant\BryaDe01,DAL,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,130,184,155,6,24,66
67,Mike Wallace\WallMi00,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.2,0,116,72,1017,14.13,4,129,205.8,166.8,4,25,67
68,Kenny Britt\BritKe00,LAR,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,128,200.2,162.2,4,26,68
69,Kenny Stills\StilKe00,MIA,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,127,171.6,147.6,2,27,69
70,Bilal Powell\PoweBi00,NYJ,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,139,204,168,2,22,70
71,Adam Thielen\ThieAd00,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,92,69,967,14.01,5,126,199.2,160.7,2,28,71
72,Jonathan Stewart\StewJo00,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.5,0,138,151.4,142.4,1,23,72
73,Andy Dalton\DaltAn00,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4,4,0,0,0,,0,261,277.6,268.6,1,11,73
74,Julian Howsare\HowsJu00,NYJ,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,3,74
75,Glenn Gronkowski\GronGl01,BUF,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,2,75
76,Terrance West\WestTe00,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,137,177,154,,24,76
77,Michael Burton\BurtMi00,DET,,24,15,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,1,77
78,Coby Fleener\FleeCo00,NOR,TE,28,16,8,0,0,0,0,0,1,2,2,1,82,50,631,12.62,3,87,140.3,112.3,,12,78
79,Marcus Mariota\MariMa01,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,260,279.9,268.9,,12,
80,Philip Rivers\RivePh00,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.5,0,0,0,0,,0,259,287.9,279.9,,13,
81,Derek Carr\CarrDe02,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,258,270.5,264.5,,14,
82,Tom Brady\BradTo00,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,257,261.6,258.6,,15,
83,Jameis Winston\WinsJa00,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,250,280.1,268.1,,17,
84,Cam Newton\NewtCa00,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,250,274.3,266.3,,16,
85,Ben Roethlisberger\RoetBe00,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,246,264.2,259.2,,18,
86,Carson Palmer\PalmCa00,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,241,262.1,255.1,,19,
87,Joe Flacco\FlacJo00,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,234,255.5,249.5,,20,
88,Eli Manning\MannEl00,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,224,247.2,240.2,,21,
89,Sam Bradford\BradSa00,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5,0,221,234.9,226.4,,22,
90,Alex Smith\SmitAl03,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3,0,220,238.8,228.3,,23,
91,Carson Wentz\WentCa00,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7,0,209,235,225.5,,24,
92,Colin Kaepernick\KaepCo00,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,198,213.4,204.4,,25,
93,Trevor Siemian\SiemTr00,DEN,QB,24,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,190,206.7,201.7,,26,
94,Ryan Tannehill\TannRy00,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,188,209.2,200.2,,27,
95,Brock Osweiler\OsweBr00,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14,0,168,192,184.5,,28,
96,Ryan Fitzpatrick\FitzRy00,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,133,157.4,150.4,,29,
97,Ryan Mathews\MathRy00,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,128,152.6,138.1,,25,
98,Jamison Crowder\CrowJa00,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1,0,99,67,847,12.64,7,125,201.5,164,,29,
99,DeSean Jackson\JackDe00,WAS,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,125,183.5,152.5,,30,
100,Allen Robinson\RobiAl02,JAX,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.1,6,124,202.3,162.8,,31,
101,Brandon LaFell\LaFeBr00,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2,0,107,64,862,13.47,6,122,189,154,,33,
102,Pierre Garcon\GarcPi00,WAS,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,122,204.1,161.6,,32,
103,Robert Kelley\KellRo00,WAS,RB,24,14,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,121,135.6,126.6,,26,
